Cinema,First day of screening,Screening Days,Title
Метрополь,16/09/1953,1,АННА ПРОЛЕТАРКА
Метрополь,01/09/1953,4,АРЕНА СМЕЛЫХ
Метрополь,07/09/1953,6,АРЕНА СМЕЛЫХ
Метрополь,16/09/1953,1,АРЕНА СМЕЛЫХ
Метрополь,18/09/1953,2,АРЕНА СМЕЛЫХ
Метрополь,21/09/1953,2,АРЕНА СМЕЛЫХ
Метрополь,21/09/1953,6,ЗВЕЗДА
Метрополь,28/09/1953,3,ЗВЕЗДА
Метрополь,07/09/1953,6,ЛЕВ ТОЛСТОЙ
Метрополь,16/09/1953,1,ЛЕВ ТОЛСТОЙ
Метрополь,17/09/1953,3,НАД НЕМАНОМ РАССВЕТ
Метрополь,21/09/1953,6,НАД НЕМАНОМ РАССВЕТ
Метрополь,01/09/1953,2,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,04/09/1953,1,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,07/09/1953,6,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,16/09/1953,4,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,21/09/1953,6,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,28/09/1953,3,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,07/09/1953,1,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Метрополь,09/09/1953,4,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Метрополь,16/09/1953,4,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Метрополь,21/09/1953,6,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Метрополь,28/09/1953,3,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Метрополь,03/09/1953,1,ПАРМСНАЯ ОБИТЕЛЬ (1-я серия)
Метрополь,01/09/1953,4,ЧУК И ГЕК
Метрополь,28/09/1953,3,ЯРОСТЬ
Орион,02/09/1953,1,NE NE cara?
Орион,16/09/1953,1,АННА ПРОЛЕТАРКА
Орион,21/09/1953,6,ЗВЕЗДА
Орион,17/09/1953,3,НАД НЕМАНОМ РАССВЕТ
Орион,01/09/1953,2,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Орион,07/09/1953,6,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Орион,03/09/1953,1,ПАРМСНАЯ ОБИТЕЛЬ (1-я серия)
Орион,28/09/1953,3,ЯРОСТЬ
Ударник,16/09/1953,1,АННА ПРОЛЕТАРКА
Ударник,21/09/1953,6,ЗВЕЗДА
Ударник,04/09/1953,1,ЛЕВ ТОЛСТОЙ
Ударник,07/09/1953,6,ЛЕВ ТОЛСТОЙ
Ударник,16/09/1953,4,ЛЕВ ТОЛСТОЙ
Ударник,21/09/1953,6,ЛЕВ ТОЛСТОЙ
Ударник,28/09/1953,2,ЛЕВ ТОЛСТОЙ
Ударник,12/09/1953,1,МЕЧТЫ НА ДОРОГАХ
Ударник,17/09/1953,3,НАД НЕМАНОМ РАССВЕТ
Ударник,01/09/1953,2,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Ударник,04/09/1953,1,ПАРМСКАЯ ОБИТЕЛЬ (1-я серия)
Ударник,07/09/1953,5,ПАРМСКАЯ ОБИТЕЛЬ (2-я серия)
Ударник,03/09/1953,1,ПАРМСНАЯ ОБИТЕЛЬ (1-я серия)
Ударник,01/09/1953,3,ПРАЗДНИК СВ. ИОРГЕНА
Ударник,26/09/1953,1,УТРО НАД РОДИНОЙ
Ударник,28/09/1953,3,УТРО НАД РОДИНОЙ
Ударник,28/09/1953,3,ЯРОСТЬ
